country_code,country_language,country,state,state_code,district,district_code,sub_district,sub_district_code,village_name,village_code,census_code,region,language,pincode,risk_category
IN,Hindi,India,RAJASTHAN,08,RAJSAMAND,123,KUMBHALGARH,0642,UMARWAS,096824,081230642096824,North,Rajasthani,313333,A
IN,Hindi,India,RAJASTHAN,08,NAGAUR,112,PARBATSAR,0564,MANDAN,083516,081120564083516,North,Rajasthani,341503,A
IN,Hindi,India,RAJASTHAN,08,JALOR,116,RANIWARA,0591,MANDARDI,089831,081160591089831,North,Rajasthani,343040,A
IN,Hindi,India,RAJASTHAN,08,KOTA,127,DIGOD,0666,MANDARIYA,101874,081270666101874,North,Rajasthani,325204,A
IN,Hindi,India,RAJASTHAN,08,HANUMANGARH,100,NOHAR,0471,MANDARPURA,068759,081000471068759,North,Rajasthani,335523,A
IN,Hindi,India,RAJASTHAN,08,JAIPUR,110,PHAGI,0544,MANDAWARI,079925,081100544079925,North,Rajasthani,303005,A
IN,Hindi,India,RAJASTHAN,08,JAIPUR,110,CHAKSU,0550,MANDAWARI,080953,081100550080953,North,Rajasthani,303908,A
IN,Hindi,India,RAJASTHAN,08,SIROHI,117,SIROHI,0593,MANDAWARIYA,089952,081170593089952,North,Rajasthani,307801,A
IN,Hindi,India,RAJASTHAN,08,ALWAR,104,BANSUR,0500,MANDEEJA BASAI,072991,081040500072991,North,Rajasthani,301402,A
IN,Hindi,India,RAJASTHAN,08,BHILWARA,122,RAIPUR,0632,MANDI,095345,081220632095345,North,Rajasthani,311803,A
IN,Hindi,India,RAJASTHAN,08,BHILWARA,122,RAIPUR,0632,MANDOL,095352,081220632095352,North,Rajasthani,311803,A
IN,Hindi,India,RAJASTHAN,08,SIKAR,111,NEEM-KA-THANA,0556,MANDOLI,082198,081110556082198,North,Rajasthani,332713,A
IN,Hindi,India,RAJASTHAN,08,UDAIPUR,130,GOGUNDA,0686,BANSRA,105742,081300686105742,North,Rajasthani,313705,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0001,8004960001,0810505098004960001,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0002,8004960002,0810505098004960002,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0003,8004960003,0810505098004960003,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0004,8004960004,0810505098004960004,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0005,8004960005,0810505098004960005,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0006,8004960006,0810505098004960006,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0007,8004960007,0810505098004960007,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0008,8004960008,0810505098004960008,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0009,8004960009,0810505098004960009,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0010,8004960010,0810505098004960010,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0011,8004960011,0810505098004960011,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0012,8004960012,0810505098004960012,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0013,8004960013,0810505098004960013,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0014,8004960014,0810505098004960014,North,Rajasthani,321602,A
