country_code,country_language,country,state,state_code,district,district_code,sub_district,sub_district_code,village_name,village_code,census_code,region,language,pincode,risk_category
IN,Hindi,India,GUJARAT,24,JUNAGADH,479,MANAVADAR,3825,BHINDORA,514354,244793825514354,EAST,Gujarati,362640,A
IN,Hindi,India,GUJARAT,24,VADODARA,486,JETPUR PAVI,3900,TAMBOLIYA,520125,244863900520125,EAST,Gujarati,391160,A
IN,Hindi,India,GUJARAT,24,VALSAD,491,DHARAMPUR,3928,TANACHHIYA,523339,244913928523339,EAST,Gujarati,396051,A
IN,Hindi,India,GUJARAT,24,NARMADA,487,SAGBARA,3912,TANKANI,521844,244873912521844,EAST,Gujarati,393050,A
IN,Hindi,India,GUJARAT,24,SURAT,492,BARDOLI,3940,TAJPOR KHURD,524306,244923940524306,EAST,Gujarati,394620,A
IN,Hindi,India,GUJARAT,24,SURAT,492,BARDOLI,3940,TAJPORE BUJRANG,524320,244923940524320,EAST,Gujarati,394350,A
IN,Hindi,India,GUJARAT,24,VADODARA,486,PADRA,3906,TAJPURA,521041,244863906521041,EAST,Gujarati,391440,A
IN,Hindi,India,GUJARAT,24,SABARKANTHA,472,BAYAD,3772,TAKHATPURA,511023,244723772511023,EAST,Gujarati,383325,A
IN,Hindi,India,GUJARAT,24,SURAT,492,PALSANA,3939,TANTITHAIYA,524222,244923939524222,EAST,Gujarati,394305,A
IN,Hindi,India,GUJARAT,24,RAJKOT,476,MALIYA,3798,TARGHARI,512629,244763798512629,EAST,Gujarati,363660,A
IN,Hindi,India,GUJARAT,24,BANASKANTHA,469,VAV,3732,RELUCHI,507404,244693732507404,EAST,Gujarati,385575,A
IN,Hindi,India,GUJARAT,24,NARMADA,487,TILAKWADA,3909,RENGAN,521345,244873909521345,EAST,Gujarati,391120,A
IN,Hindi,India,GUJARAT,24,KACHCHH,468,NAKHATRANA,3727,TAL,506939,244683727506939,EAST,Gujarati,370665,A
IN,Hindi,India,GUJARAT,24,AMRELI,480,RAJULA,3849,KUNDALIYALA,515950,244803849515950,EAST,Gujarati,365560,A
IN,Hindi,India,GUJARAT,24,NARMADA,487,DEDIAPADA,3911,KUNDIAMBA,521688,244873911521688,EAST,Gujarati,393040,A
IN,Hindi,India,GUJARAT,24,KHEDA,483,MATAR,3875,KUNJARA,517545,244833875517545,EAST,Gujarati,387520,A
IN,Hindi,India,GUJARAT,24,TAPI,493,VALOD,3946,TITVA,524873,244933946524873,EAST,Gujarati,394340,A
IN,Hindi,India,GUJARAT,24,SABARKANTHA,472,HIMATNAGAR,3766,SURPUR (LIKHI),510448,244723766510448,EAST,Gujarati,383010,A
IN,Hindi,India,GUJARAT,24,SURENDRA NAGAR,475,HALVAD,3788,SUSVAV,511974,244753788511974,EAST,Gujarati,363351,A
IN,Hindi,India,GUJARAT,24,JAMNAGAR,477,JAMNAGAR,3814,SUVARDA,513633,244773814513633,EAST,Gujarati,361120,A
IN,Hindi,India,GUJARAT,24,VADODARA,486,CHHOTA UDAIPUR,3901,BALAVANT,520296,244863901520296,EAST,Gujarati,391165,A
IN,Hindi,India,GUJARAT,24,PATAN,470,SIDHPUR,3746,KUNVARA,508746,244703746508746,EAST,Gujarati,384266,A
IN,Hindi,India,GUJARAT,24,SURENDRA NAGAR,475,DHRANGADHRA,3789,PRATAPPUR,512067,244753789512067,EAST,Gujarati,363320,A
IN,Hindi,India,GUJARAT,24,SABARKANTHA,472,IDAR,3763,PRATAPPURA,510042,244723763510042,EAST,Gujarati,383430,A
IN,Hindi,India,GUJARAT,24,AMRELI,480,AMRELI,3843,TIMBA,515576,244803843515576,EAST,Gujarati,365620,A
IN,Hindi,India,GUJARAT,24,NARMADA,487,NANDOD,3910,TIMBI,521480,244873910521480,EAST,Gujarati,392025,A
IN,Hindi,India,GUJARAT,24,VADODARA,486,SINOR,3908,TINGLOD,521227,244863908521227,EAST,Gujarati,391250,A
IN,Hindi,India,GUJARAT,24,SURAT,492,MANGROL,3933,SAVA,523822,244923933523822,EAST,Gujarati,394120,A
IN,Hindi,India,GUJARAT,24,PATAN,470,HARIJ,3748,SAVASDA,508947,244703748508947,EAST,Gujarati,384240,A
IN,Hindi,India,GUJARAT,24,SABARKANTHA,472,DHANSURA,3770,NANA,510882,244723770510882,EAST,Gujarati,383260,A
IN,Hindi,India,GUJARAT,24,VADODARA,486,JETPUR PAVI,3900,NANA AMADRA (CHHATRALI),520195,244863900520195,EAST,Gujarati,391135,A
IN,Hindi,India,GUJARAT,24,DAHOD,485,LIMKHEDA,3892,NANA AMBALIYA,519251,244853892519251,EAST,Gujarati,389130,A
IN,Hindi,India,GUJARAT,24,BHAVNAGAR,481,PALITANA,3858,NANA GARAJIYA,516526,244813858516526,EAST,Gujarati,364270,A
IN,Hindi,India,GUJARAT,24,VADODARA,486,JETPUR PAVI,3900,NANA KANTVA,520082,244863900520082,EAST,Gujarati,391135,A
IN,Hindi,India,GUJARAT,24,PANCH MAHALS,484,KADANA,3880,NANA MACHHIWADA,517953,244843880517953,EAST,Gujarati,389250,A
IN,Hindi,India,GUJARAT,24,PATAN,470,PATAN,3747,NANA RAMANDA,508882,244703747508882,EAST,Gujarati,384255,A
IN,Hindi,India,GUJARAT,24,SURAT,492,MANGROL,3933,KUMVARDA,523825,244923933523825,EAST,Gujarati,394120,A
IN,Hindi,India,GUJARAT,24,AHMADABAD,474,SANAND,3780,KUNDAL,511603,244743780511603,EAST,Gujarati,382110,A
IN,Hindi,India,GUJARAT,24,PATAN,470,RADHANPUR,3745,NAJUPURA,508719,244703745508719,EAST,Gujarati,385340,A
IN,Hindi,India,GUJARAT,24,VADODARA,486,CHHOTA UDAIPUR,3901,NAKAMLI,520334,244863901520334,EAST,Gujarati,391165,A
IN,Hindi,India,GUJARAT,24,BANASKANTHA,469,VAV,3732,RAVLA,507406,244693732507406,EAST,Gujarati,385575,A
IN,Hindi,India,GUJARAT,24,SABARKANTHA,472,HIMATNAGAR,3766,RAYGADH,510516,244723766510516,EAST,Gujarati,383276,A
IN,Hindi,India,GUJARAT,24,BHAVNAGAR,481,GADHADA,3852,RAYPAR,516132,244813852516132,EAST,Gujarati,364750,A
IN,Hindi,India,GUJARAT,24,THE DANGS,489,THE DANGS,3921,NAKATIA HANWAT,522659,244893921522659,EAST,Gujarati,394710,A
IN,Hindi,India,GUJARAT,24,NARMADA,487,SAGBARA,3912,NALAKUND,521774,244873912521774,EAST,Gujarati,393050,A
IN,Hindi,India,GUJARAT,24,KACHCHH,468,ABDASA,3728,NALIYA,507105,244683728507105,EAST,Gujarati,370655,A
IN,Hindi,India,GUJARAT,24,SURENDRA NAGAR,475,MULI,3793,NALKHAMBHA,512286,244753793512286,EAST,Gujarati,363530,A
IN,Hindi,India,GUJARAT,24,SURENDRA NAGAR,475,SAYLA,3795,AYA,512430,244753795512430,EAST,Gujarati,363430,A
IN,Hindi,India,GUJARAT,24,SURAT,492,CHORASI,3938,SABARGAM,524178,244923938524178,EAST,Gujarati,394325,A
IN,Hindi,India,GUJARAT,24,BANASKANTHA,469,DHANERA,3734,SABAWADI,507666,244693734507666,EAST,Gujarati,385545,A
IN,Hindi,India,GUJARAT,24,PANCH MAHALS,484,KHANPUR,3879,TEJAKUI,517820,244843879517820,EAST,Gujarati,389230,A
IN,Hindi,India,GUJARAT,24,BHARUCH,488,AMOD,3914,TELOD,521973,244883914521973,EAST,Gujarati,392110,A
IN,Hindi,India,GUJARAT,24,BANASKANTHA,469,PALANPUR,3739,KUMBHASAN,508169,244693739508169,EAST,Gujarati,385515,A
IN,Hindi,India,GUJARAT,24,AHMADABAD,474,BARWALA,3786,REFDA,511859,244743786511859,EAST,Gujarati,382255,A
IN,Hindi,India,GUJARAT,24,THE DANGS,489,THE DANGS,3921,SADADMAL,522773,244893921522773,EAST,Gujarati,394715,A
